Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
20,6-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:55,11:21,12:33,13:16,14:00,15:30,16:40,18:09,,,,,70000,1,19,8,0,0,9,7,0,11,0,0,0
15,28-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:14,7:52,8:40,,,14:18,14:30,17:10,,,,,70000,2,4,7,3,5,4,0,5,0,0,0,0
22,8-Mar,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:10,7:40,8:14,11:30,12:50,14:08,15:40,,,,,,70000,2,8,1,3,0,3,5,0,2,0,2,0
13,25-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,9:37,9:50,11:20,12:41,14:38:00,16:01,17:38,,,,,70000,2,12,1,1,0,4,2,0,8,0,0,0
13,25-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:25,10:45,11:47,13:00,14:00,16:00,17:02,18:25,,,,,70000,1,6,6,0,0,4,2,1,3,0,0,2
16,1-Mar,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:17,8:21,9:00,11:00,11:20,13:26,14:30,16:35,,,,,70000,2,9,14,8,0,13,16,0,2,0,0,0
21,7-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:20,8:40,10:43,12:30,14:20,15:50,17:33,,,,,70000,2,22,6,0,0,5,17,0,6,0,0,0
22,8-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:23,9:00,12:00,12:12,13:30,15:00,,16:59,,,,,70000,1,5,3,0,0,3,1,0,3,0,1,0
21,7-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:00,8:30,9:10,12:25,12:29,13:45,15:00,17:00,,,,,70000,1,12,6,0,0,0,10,0,5,0,3,0
15,28-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:20,8:34,10:00,11:55,13:08,15:00,16:20,17:48,,,,,70000,1,4,8,1,0,7,3,0,2,0,1,0
21,7-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:30,9:28,11:40,13:10,15:41,16:32,17:25,18:53,,,,,70000,1,10,16,5,0,20,9,0,2,0,0,0
19,4-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,9:30,10:06,12:00,13:00,15:00,15:45,17:15,,,,,70000,1,12,2,2,0,5,4,1,6,0,0,0
14,27-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:13,9:25,9:55,12:00,12:30,15:26,15:46,18:34,,,,,70000,2,17,9,0,0,8,6,0,12,0,0,0
14,27-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:10,13:00,13:40,15:14,16:40,,,8:30,,,,,70000,1,8,3,0,0,1,5,0,5,0,0,0
16,1-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:41,9:15,9:29,11:30,12:30,14:10,15:20,17:10,,,,,70000,1,10,5,0,0,6,5,1,2,0,1,0
17,2-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:36,9:25,10:00,12:00,13:55,15:33,17:57,,,,,70000,2,12,6,0,0,13,2,0,2,0,1,0
17,2-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:00,9:47,11:00,13:16,14:40,16:00,17:00,18:24,,,,,70000,1,17,12,0,0,15,9,1,4,0,0,0
16,1-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:06,10:27,11:30,13:10,14:17,16:30,16:50,18:10,,,,,70000,2,13,13,5,0,21,7,0,2,0,1,0
15,28-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:26,10:25,10:46,12:13,12:40,13:58,14:28,16:00,,,,,70000,2,9,2,0,0,3,3,0,5,0,0,0
19,4-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:00,9:30,11:40,13:25,15:11,16:35,17:16,18:30,,,,,70000,1,4,9,3,0,11,4,0,1,0,0,0
16,1-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:53,10:05,10:20,12:01,11:10,15:14,16:23,18:01,,,,,70000,1,18,8,1,0,15,2,0,8,0,2,0
20,6-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:26,8:40,9:00,10:50,12:10,14:06,15:15,17:28,,,,,70000,2,18,8,0,0,9,8,0,8,0,1,0
